user,bookNFT,outstanding_raw,outstanding_like,inflated
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x0526Eb0EDF7707683f1bA4DCf8Ad35b853490762,3613291981430258,3613291981.430258,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xb73f103207aB7A1e7c0c1f3218f52dF5bb812C32,2585435547811560,2585435547.81156,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xF9e993C8a9fBc63a910DCd1B02b3359cCC373919,2198772522923929,2198772522.923929,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x2fa5F63792Ea0f3501C842417eF8E61F41c5E60f,2170807882210689,2170807882.210689,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x7d05a166589a26A892BE616579a05432a2401314,2100492965196041,2100492965.196041,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,84448237902457,84448237.902457,true
0x78eDDc163275E9e254557313CaD83D88e680c99f,0x955b8520D9026D6247690E0dC8c5E1b1434C4078,15015387790,15015.38779,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x97770A1E0023046D387aC987BbCC100f35a14844,6270726970,6270.72697,true
0x36F322fC85B24aB13263CFE9217B28f8E2b38381,0x183464E20743D52C3cAAEdEc40b52C164F42E9Ef,4647613800,4647.6138,true
0x3FfC07ED6a65E379E39Bef93e713ee3Ff77a56e4,0x183464E20743D52C3cAAEdEc40b52C164F42E9Ef,3548243566,3548.243566,true
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x91A7e8b5a3331cAf708ad3F90C71Cec10f37B125,3377185167,3377.185167,true
0x3f31371E915efe4067C241b9dDC919919b6871c5,0x97770A1E0023046D387aC987BbCC100f35a14844,2464874280,2464.87428,true
0xC3667DcAD0d71301E913b6cb8741538B7CFe251c,0x9483913D6207c0Dd3c54D7856C23145F1279cA52,2322138211,2322.138211,true
0xBCa9846312aA78aB6f570FfaDee22863B1163FC1,0x9483913D6207c0Dd3c54D7856C23145F1279cA52,2098145488,2098.145488,true
0xC3667DcAD0d71301E913b6cb8741538B7CFe251c,0xA20Cc05e12F456b2b97aE2fDAbE0952598831f1C,1969575813,1969.575813,true
0x310CFFB4198eCBf3F1f9064846d7473E177621AE,0x183464E20743D52C3cAAEdEc40b52C164F42E9Ef,1965926565,1965.926565,true
0x662A79fBc9ae681d7cD19A7275Aa8b3187CcA622,0x4D69ecb8Da3B16D5828eC0DCd17B1310Cb96D3A0,1229902460,1229.90246,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x97770A1E0023046D387aC987BbCC100f35a14844,1201291810,1201.29181,true
0x78eDDc163275E9e254557313CaD83D88e680c99f,0x8EcBaA55E85429D968129207fad35f0d049424CA,820042582,820.042582,true
0xF0269C48252Cd4c942A54F7c2e1a0D5870FDb348,0x183464E20743D52C3cAAEdEc40b52C164F42E9Ef,763583590,763.58359,true
0x36F322fC85B24aB13263CFE9217B28f8E2b38381,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,711474283,711.474283,true
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x19B884c94b9E27f14e997db63dFa8F1F5EF40E2c,662613270,662.61327,true
0xC4B2d5a6eDba534A848336173e4136f078E1b7ef,0xa1D7F3e0a45206CFf39110aF4a7542407289e829,610803341,610.803341,true
0x3FfC07ED6a65E379E39Bef93e713ee3Ff77a56e4,0x6EEf0D7C24c6b872e480154dEb8b7430f54603E3,571399441,571.399441,true
