owner,bookNFT,tokenId,stakedAmount,claimable_raw,owed_raw,owed_like
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0xDd624795D4670f029CcFB90926d2aFfDf084C3aB,512,10000000,0,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xDd624795D4670f029CcFB90926d2aFfDf084C3aB,783,3000000,0,0,0.0
0x13d6f5A180A8ff82E2e74847D9bc91b537b03A2E,0x19B884c94b9E27f14e997db63dFa8F1F5EF40E2c,25,2100000000,0,0,0.0
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x19B884c94b9E27f14e997db63dFa8F1F5EF40E2c,30,600000000,103298400,102950055,102.950055
0x35cf10a5D2a240b9cB7Ac44442B8A326F6961e66,0x19B884c94b9E27f14e997db63dFa8F1F5EF40E2c,131,1000000000,288567377,287594265,287.594265
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x19B884c94b9E27f14e997db63dFa8F1F5EF40E2c,148,51275644803,662613270,660378795,660.378795
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x19B884c94b9E27f14e997db63dFa8F1F5EF40E2c,192,1000000000,0,0,0.0
0xC6473A964F160B24576946d5c616caDE88B0465C,0x19B884c94b9E27f14e997db63dFa8F1F5EF40E2c,286,100000000,1292257,1287899,1.287899
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x19B884c94b9E27f14e997db63dFa8F1F5EF40E2c,784,3000000,516492,514750,0.51475
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,32,1010000000,9646315344869987322,0,0.0
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,117,8842,84448237902457,0,0.0
0x6ba3525B364445F4ed3244ff0a151c8bAea934cA,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,156,1000000000,9550807272599868101,0,0.0
0x12cF06fC70CbcBfD9E8e1676029f7189053Ac981,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,326,500000000,4775403636211621891,0,0.0
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,402,35000000,334278254522027213,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,804,3000000,28652421817165097,0,0.0
0x39c8B49Ca48d266785A01cc2141Eb936c2f11028,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,847,208000000,1986567912656780083,0,0.0
0x02e74F3b930f8443DE58e9D3Bd57fc6b1612e627,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,911,100000000,955080727200000000,0,0.0
0xB2206f941A5206B55BFA33E665687523A8bcEd80,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,1338,6000000000,57304843632000000000,0,0.0
0x78eDDc163275E9e254557313CaD83D88e680c99f,0x97FA87D601701ea51164CfC4e0e00dde004A9CA0,1521,2,0,0,0.0
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,37,510787593,2823306,2823234,2.823234
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,70,1000000000,0,0,0.0
0x7D08f52539A8Fa695b474513437B1Ee8Bf5112d7,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,77,500000000,8233637,8233428,8.233428
0x775E80246A1C3aac7ce389B481a8e74E1F2FEbCB,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,101,1100000000,0,0,0.0
0x0686BcD9e5A94d9f0b29EA7Ce1887d8B2dA21e86,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,176,1000000000,5527358,5527218,5.527218
0x1d1F6bEbaB8A03a09fd2E28A2D152a912d4D87c9,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,391,100000000,2371580,2371519,2.371519
0x9692Fefe6ffa3d45769Cb6A8c9D11991fc143919,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,393,100000000,2371580,2371519,2.371519
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,546,25000000,138183,138179,0.138179
0x36F322fC85B24aB13263CFE9217B28f8E2b38381,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,609,30000000000,711474283,711456286,711.456286
0xE29Ca6542347879b0aF2A534b865023adB9A39C0,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,1063,100000000,1646727,1646685,1.646685
0x550Bf893A4DC87A76F99726581c8f6bBE87a028d,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,624,100000000,2371580,2371519,2.371519
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,802,3000000,71147,71145,0.071145
0xe155Fb7F921b46383D83CaE0165a9717De04162F,0xb8Ae0a0C0380F81F4b14120A948228BACC327415,1096,100000000,552735,552721,0.552721
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,39,1000000000,4947955739387823801,0,0.0
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,116,1000000000,4947955739555968459,0,0.0
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,123,1000000000,4947955739000000000,0,0.0
0x13d6f5A180A8ff82E2e74847D9bc91b537b03A2E,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,591,1000000000,4947955739000000000,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,776,3000000,14843867218163471,0,0.0
0x78eDDc163275E9e254557313CaD83D88e680c99f,0x3ed61aeeC1DA28A93eE9963f2D21FdD802CBc063,1520,2,0,0,0.0
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0xAB976072B6Be23De212437d8f42375D5131daFb9,40,10000000,32804146164470289,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0xAB976072B6Be23De212437d8f42375D5131daFb9,111,247000000,810262410262416149,0,0.0
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0xAB976072B6Be23De212437d8f42375D5131daFb9,487,10000000,32804146164470289,0,0.0
0x662A79fBc9ae681d7cD19A7275Aa8b3187CcA622,0xAB976072B6Be23De212437d8f42375D5131daFb9,557,2000000000,6560829232894057887,0,0.0
0x78eDDc163275E9e254557313CaD83D88e680c99f,0xAB976072B6Be23De212437d8f42375D5131daFb9,1511,2,0,0,0.0
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,42,511528434,4245524288178607673,0,0.0
0x6ba3525B364445F4ed3244ff0a151c8bAea934cA,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,155,1000000000,8299683861409149745,0,0.0
0x0686BcD9e5A94d9f0b29EA7Ce1887d8B2dA21e86,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,158,1000000000,8299683861129423889,0,0.0
0xea13e2a6c52CE61c506247267D15d3bbA7CABA53,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,213,1000000000,8299683861191206014,0,0.0
0x24cD9d885Fe462354E74BdC5361E0886441875DC,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,331,10000000,82996838611912060,0,0.0
0xC3667DcAD0d71301E913b6cb8741538B7CFe251c,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,347,1500000000,12449525791762477485,0,0.0
0x625B192B5019bcA08F4C312ba4319203e5e07e94,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,380,10000000,82996838610828781,0,0.0
0x9Bd0787873B50990c14Ef9155D7a095753C22485,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,400,25000000,207492096527680387,0,0.0
0x8EB12Be95E325376721Dd6dDeA39306171fAc71d,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,514,10000000,82996838611912060,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,781,3000000,24899051583524954,0,0.0
0x662A79fBc9ae681d7cD19A7275Aa8b3187CcA622,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,960,2000000000,16599367722165756221,0,0.0
0x78eDDc163275E9e254557313CaD83D88e680c99f,0x3928C8E06f5f814811f6d70ae91da85B4E133b89,1504,2,0,0,0.0
0x8F176D80F72eA56Fbf61b5E56b84414689EA26bA,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,45,10000000,43509501863292826,0,0.0
0x7fF3c36212F5B10846B7A2569b7b8a822a900050,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,74,1000000000,4350950186000000000,0,0.0
0x880d1303B47CF2ca05FF0cd62543Dc2752BF8B37,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,88,888000000,3863643765814099931,0,0.0
0x13d6f5A180A8ff82E2e74847D9bc91b537b03A2E,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,593,1002000000,4359652086372000000,0,0.0
0xA3920714f9fDf92eCa5e112017Ab1D31cFcb8588,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,618,100000000,435095018632928262,0,0.0
0xD10bCB42C7b5381CBB278aFC02CE0ddAc76CCd4b,0x9cA7f7FAF79544FEEF185b50749D3f814E3748ce,770,3000000,13052850558987847,0,0.0
